name,ticker,isin,productType,currency
Xtrackers MSCI Pacific ex Japan Screened UCITS 1C ETF,DXS6,LU0322252338,ETF,EUR
Xtrackers MSCI Pacific ex Japan Screened UCITS 1C ETF,XPXD,LU0322252338,ETF,USD
Xtrackers MSCI Pacific ex Japan Screened UCITS 1C ETF,XPXJ,LU0322252338,ETF,GBX
Xtrackers MSCI Pacific ex Japan Screened UCITS 1C ETF,XPXJ,LU0322252338,ETF,EUR
Xtrackers MSCI Pacific ex Japan Screened UCITS 1C ETF,DXS6,LU0322252338,ETF,EUR
Xtrackers MSCI Philippines UCITS 1C ETF,XPQP,LU0592215403,ETF,EUR
Xtrackers MSCI Philippines UCITS 1C ETF,XPHI,LU0592215403,ETF,USD
Xtrackers MSCI Philippines UCITS 1C ETF,XPHG,LU0592215403,ETF,GBX
Xtrackers MSCI Taiwan UCITS 1C ETF,DBX5,LU0292109187,ETF,EUR
Xtrackers MSCI Taiwan UCITS 1C ETF,DBX5,LU0292109187,ETF,EUR
Xtrackers MSCI Taiwan UCITS 1C ETF,XMTD,LU0292109187,ETF,USD
Xtrackers MSCI Taiwan UCITS 1C ETF,XMTW,LU0292109187,ETF,GBX
Xtrackers MSCI Taiwan UCITS 1C ETF,XMTW,LU0292109187,ETF,CHF
Xtrackers MSCI Thailand UCITS 1C ETF,XCS4,LU0514694701,ETF,EUR
Xtrackers MSCI Thailand UCITS 1C ETF,XCS4,LU0514694701,ETF,USD
Xtrackers MSCI Thailand UCITS 1C ETF,XCX4,LU0514694701,ETF,GBX
Xtrackers MSCI Thailand UCITS 1C ETF,XCS4,LU0514694701,ETF,EUR
Xtrackers MSCI UK ESG UCITS ETF,DBXZ,LU0292097747,ETF,EUR
Xtrackers MSCI UK ESG UCITS ETF,XASX,LU0292097747,ETF,GBX
Xtrackers MSCI UK ESG UCITS ETF,DBXZ,LU0292097747,ETF,EUR
Xtrackers MSCI USA Banks ETF,XUFB,IE00BDVPTJ63,ETF,EUR
Amundi Global Gender Equality,VOOM,LU1691909508,ETF,EUR
Amundi Global Gender Equality,ELLE,LU1691909508,ETF,EUR
Amundi Global Gender Equality,VOOM,LU1691909508,ETF,EUR
Amundi Global Gender Equality,ELLE,LU1691909508,ETF,USD
